PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
10,O,4,2,M,31,Run,C-R,,-1,Rush,DOUBLES,APPLE,,42,2HI,C2,,,,Whittier College
140,O,3,3,L,18,Run,P-L,,1,Rush,DOUBLES,APPLE,,42,2HI,ZERO,5I,,,Whittier College
180,O,3,1,L,16,,,,5,Penalty,DOUBLES,APPLE,,42,0,,7,,,Whittier College
144,O,2,5,L,15,Pass,,4,0,Incomplete,TRIO,ARK SLUGGO,,32,2HI,C3,,,,Willamette University
28,O,2,5,L,5,Pass,,4,0,Incomplete,TRIO,ARK SLUGGO,,42,0,OVER,,,,Chapman University
161,O,2,8,R,24,Pass,,7,24,TD,TRIO,ARK SLUGGO,,41,2HI,2MAN,,,,Whittier College
82,O,3,4,L,-42,Pass,,5,14,Complete,TRIO,ARKANSAS,,33,2HI,C2,,,2,George Fox University
186,O,3,6,R,-18,Pass,,3,12,Complete,TRIO,ARKANSAS,,42,2HI,3ROLL,4I,,4,George Fox University
189,O,3,6,L,-34,Pass,,8,0,Incomplete,TRIO,ARKANSAS,,33,2HI,C2,,,4,George Fox University
4,O,3,1,L,41,Pass,,2,0,Incomplete,DOUBLES,ARKANSAS,,70,0,OVER,,,,University of Puget Sound
29,O,4,1,L,-39,Pass,,1,0,Incomplete,TRIO,ARKANSAS,,42,1HI,C4,,,,University of Puget Sound
84,O,3,9,R,24,Pass,,3,8,Complete,DEUCE,ARKANSAS,,70,1HI,OVER,,,,University of Puget Sound
94,O,3,4,L,-38,Pass,B-L QB,,0,Scramble,TRIO,ARKANSAS,,33,2HI,21,,,,Linfield College
176,O,2,7,M,-11,Pass,P-L QB,,8,Scramble,DOUBLES,ARKANSAS,,33,0,ZERO,5R,,,Pacific University
46,O,2,10,M,49,Pass,,1,0,Complete,DEUCE,ARKANSAS,,33,2HI,TAMPA,,,,Willamette University
170,O,3,3,R,-27,Pass,,3,0,Incomplete,DOUBLES,ARKANSAS,,43,2HI,OVER,5R,,,Willamette University
121,O,1,10,R,-27,Pass,,1,0,Incomplete,TRIO,ARKANSAS,,41,2HI,2MAN,,,,Whittier College
39,O,1,10,M,-3,Run,P-L,,-1,Rush,BULLET,ARMY,,33,2HI,C1,5L,,1,George Fox University
